29,접수기간 : 2020.06.22(월)~2020.7.31(금) 18:00▶접수기간 : 2020.06.22(월)~7.31(금) 18시 마감​▶발표일 : 2020.8.14(금) 예정​▶응모자격 : 국내외 대학(원)생 (※개인 및 3인 이하의 팀 단위)​▶공모주제 : 광화문글판 30년 기념편과 어울리며 시민들이 공감할 수 있는 디자인​▶30년 기념편 문안 :세상 
30,"""토익 시험장에 무엇을 가져가야 하나?""토익 시험 당일 챙겨야할 토익시험준비물 보기!안녕하세요, 여러분~시원스쿨LAB입니다!​연속되는 토익시험 속!이번주 주말에도 토익시험을 앞두고 계시는 분들꽤 많을텐데요~​그 중에서는 아마 처음 토익시험을 치루는 분도,오랜만에 토익시험을 치루는 분도 많을거예요그래서 오늘은 시원스쿨LAB이 토익시험준비물로무..."
31,"이웃 간 도서 공유 플랫폼빌려주고 대여료도 받을 수 있어 서울대→한국거래소→1조 기업 임원 거쳐 창업 서울대 바이오시스템공학과 졸업. ‘신의 직장’이라 불리는 한국거래소를 10년 동안 다녔다. 이후 게임 개발사 더블유게임즈의 CFO(최고재무관리자)로 이직. 그가 일한 5년 동안 회사는 시가총액 1조원, "
32,"예능 프로그램 '아는 형님'이 과거 불법 도박으로 물의를 빚은 가수 신정환을 초대했다 뭇매를 맞았습니다. 신정환은 과거 불법 도박으로 방송을 펑크 낸 후 '뎅기열 때문에 입국하지 못했다'라며 팬들을 농락한 전적이 있는데요. 그의 출연을 두고 연예인들의 복귀 공식에 대한 비난이 잇따랐습니다. 그간 연예인들은 짧은 자숙 기간 후 ""연기로, 음악으로, "
33,"1980년대 국내에는 백화점 붐이 일기 시작했다. 경제 발전 덕에 국민 소득에 변화가 생기면서, 상품에 대한 기준도 그만큼 높아졌기 때문이다. 덕분에 백화점이 호황을 이루자 국내 기업들이 잇따라 백화점을 개점한다. 특히 1970년대 아파트 건설로 호황을 누렸던 건설·부동산 업계의 백화점 진출이 두드러지게 나타났다.그러나 뭐든 과하면 독이 되는 "
34,"자수성가형 기업으로 꼽히는 현대그룹 보험, 방송 등 다양한 사업 손 뻗었지만 실패로 돌아간 계열사, 사업은?국내에서 삼성과 어깨를 나란히 하는 대기업으로 꼽히는 현대그룹. 어느 정도의 재력을 갖췄던 삼성가와 달리 농사를 짓던 정주영 회장이 소를 팔아 세운 자수성가형 그룹으로도 유명하죠. 1947년 설립된 현대 그룹의 대표 사업은 자동차 사업입니다. 하지만 "
35,"​민노총 가입 노원구청 40여명,무기계약직서 일반직 전환 요구​서울 노원구청은 문재인 정부 출범 직후부터 2년에 걸쳐 청사에서 일하던 청소부·주차 요원 등 비정규직 근로자 74명을 정규직과 똑같은 60세 정년이 보장되는 '무기계약직'으로 전환했다. 이런 혜택을 본 이들 가운데 민노총에 가입한 40여 명이 이달 24일,구청 로비를 점거하고 농성에 돌입했다. "
36,"브레인콜라, 콘텐츠 흥행 예측하는 서비스 개발과거 흥행작과 신규 콘텐츠 초기 반응 비교·분석해 개인 맞춤형 콘텐츠 추천 서비스도 제공 누적 독자 1256만명, 누적 조회수는 2억6000건. 다음웹툰에서 연재한 ‘이태원 클라쓰’ 흥행을 보고 네이버 웹툰은 배가 아팠을 수밖에 없다. 네이버 베스트도전에서 ‘꿀밤&rs"
37,"접수기간 : 2020년 6월 18일(목) ~ 2020년 7월 5일(일) 24:001. 모집 개요​● 모집 대상 - 국내 및 해외 대학(원)에 재/휴학 중인 학생으로 3인 1팀 구성(※ 팀원 중 SK텔레콤 사용자 1인 포함 필수)- 트렌드에 밝고 관련 콘텐츠와 정보를 자주 찾아보는 학생 우대- SK텔레콤의 신규 전략 및 개선 제안(앱 서비스, 요금제, 마케팅"
38,접수기간 : 2020년 6월 15일(월) ~ 2020년 6월 26일(금) 18:00서울시의회에서는 제10대 후반기 서울시의회의 핵심가치와 비전을 표현하기 위해「제10대 후반기 서울시의회 슬로건 공모전」을 실시합니다.​평소 서울시의회 의정활동에 관심 있는 분들의 많은 참여 바랍니다.​▶ 공모안내​❍ 공모내용 : 서울시의회가 지향하고 있는 핵심가치와 비전을 상
